tweet id,cleaned_text,topic_num,topic_num_forced,topic_num_prob,topic_num_distr,topic_num_c_tf_idf,topic_num_embeddings
1188974412848082944,vamos c ,-1,2,1,2,2,1
1336544584122425344,recin me entero de que muri alejandro sabella el dt de aquella que jug la final con en creo que uno de los dts ms dignos que tuvo la seleccin argentina en los ltimos tiempos ,2,2,2,2,2,2
1344266861668667392,si quisieras inventarla a la no te saldra,1,1,1,1,1,1
1587552033359376385,cidob confederacin de naciones y pueblos indgenas del y amazona de exige al gobernador de luis fernando camacho y al rmulo calvo ordenar levantar el paro criminal de inmediato ,-1,0,4,0,0,4
1118120426004254720,majul feiman lanata son parte del periodismo independiente de la ,28,28,28,28,28,28
1519373604764454912,quiero decirles que hemos aperturado con nuestras fronteras y los transportistas del hermano pas estn cumpliendo con la resolucin es decir que sus movilidades son nuevas ,-1,0,48,0,0,7
1317904603615211520,president evo morales made statements from evo says he s pleased there has been no confrontation during the vote to restore democracy and asks that people not fall for provocation he also calls on security forces to fulfil their institutional constitutional role ,0,0,0,0,0,0
1340044590347333632,estimados usuarios de la ruta integradora informamos que debido a cierre de vas en inmediaciones de la calle los buses toman ruta alterna por la de y ,7,7,7,7,7,7
1188948361002569728,y albertofernndez se reunieron hoy en la ,4,4,4,4,4,4
1195048447080116230,es una pena que la prensa sea tan corrupta y encima insulte a nuestros bolivianos en nuestra propio pas nohaygolpeenbolivia,-1,4,4,4,4,4
1569181480298975232,tv nada es raro en recibimos a su tiempo tanta ayuda solidaria de la y no nos acordamos de malvinas tantos jvenes hroes de su patria muertos en una guerra desigual por la ambicin siempre de los poderosos salv hroesde siempre vivir agradecida,-1,4,52,4,4,28
1227784521375981570,jajaja si ya hay universidades que permiten el uso del lenguaje inclusivo en sus aulas esto no debera sorprender a nadie es uno de los pases ms terribles en educacin en,-1,1,0,1,1,19
1243221632057061376,si la hizo en es empanada o ,-1,1,16,1,1,1
1239338223438004227,las medidas de por el coronavirus,12,12,12,12,12,12
1200531071655432194,camacho asesino apenas has escuchado guerra civil te estabas cagando en tus pantalones corriendo como rata de hotel en hotel resguardando te con tus sicarios ahora que la prensa llega da pues la cara habla de tus crmenes no te escondas como rata de cementerio,-1,45,41,45,45,34
1117955477269372929,est tan slo es un fotograma de una tremenda pelcula de podredumbre que se inici hace como un mes y medio en la y que involucra al gobierno neoliberal y gangsteril de macri en contra de polticos opositores y empresarios ,-1,0,0,0,0,0
1227812739306917889,votaste lo que votaste ok pero pongamos est frase en el centro de la mesa hay que superar la inconsistencia macroeconomca lo dems es comentario still waiting for el acuerdo econmico social,-1,46,0,46,0,0
1188918753523830784,en peligro de gerra civil instruida por evo morales y su partido concluelexbol5 humanrights cnnee sosbolivia santacruz lapaz oea eu brazil,4,4,4,4,4,4
1266913269035474944, sra presidenta su gobierno es un ente ininteligible penetrado de masistas de los originarios con vnculos en ministros arios andinos y otros regentes oportunistas si ud no hubiera sido empujada a la candidatura las cosas estuvieran mejor ,0,0,0,0,0,0
1139126076662267904,i m at in ,-1,-1,1,-1,-1,16
1189593489241182209,parece que es por las quemas en pozo en el ,-1,40,1,40,40,1
1526704002062221313,un absurdo seguira los pasos de y y boric entrara a la historia como aquel que arruino la economia y democracia de un pais mas estable de la region por los latino americanos le apostamos a ideologias trasnocha das que fracasaron en el mundo,4,4,4,4,4,4
1299530664769806336,amei grandioso vamos la manos e por favor terminam com don macedo na vai nos ajudar muito esta trabalhando contra o povo ha anos ,4,4,4,4,4,4
1188612919673675777,elecciones en fernndez fernndez mauricio macri con ms del escrutado datos oficiales ,0,0,0,0,0,0
1253282051110961152, no me mat la guerra en pero me puede matar tu abandono en ,-1,34,34,34,34,34
